name;station_id;address;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Maimun Saleh;96001;Bandara Maimun Saleh Sabang;0-20000-1-06588;5.87655;95.33785;10;Region I;Aceh;Kota Sabang;1;UTC+07:00
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah III;96003;Jl. Raya Tuban Badung-Bali;;;0;0;Region V;Papua Barat;Kab. Sorong Selatan;4;UTC+08:00
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah IV;96004;Jl. Prof. DR. Abdurrahman Basalamah No. 4 Panakukang Makassar Sulawesi Selatan;;-5.14283;119.45227;72;Region IV;Sulawesi Selatan;Kota Makassar;4;UTC+08:00
Stasiun Meteorologi Malikussaleh;96009;Jl. Meteorologi Bandar Udara Malikussaleh, Muara Batu, Aceh Utara;0-20000-1-06600;3.5;97.83;182;Region I;Aceh;Kab. Aceh Tenggara;1;UTC+07:00
Stasiun Meteorologi Sultan Iskandar Muda;96011;Bandar Udara Sultan Iskandar Muda, Blang Bintang, Banda Aceh;;5.52244;95.417;20;Region I;Aceh;Kab. Aceh Besar;1;UTC+07:00
Stasiun Geofisika Aceh Besar;96013;Jl. Raya Mata Ie Kec. Darul Imarah Kab. Aceh Besar Aceh;0-20000-0-96013;2.45;98.04;43;Region I;Aceh;Kab. Aceh Singkil;3;UTC+07:00
Stasiun Meteorologi Cut Nyak Dhien Nagan Raya;96015;Jl. Bandara Cut Nyak Dhien Desa Kuala Tuha Kec. Kuala Pesisir, Kab. Nagan Raya;0-20000-0-95013;4.04928;96.24796;3;Region I;Aceh;Kab. Nagan Raya;1;UTC+07:00
Stasiun Klimatologi Aceh;96017;Jl. Banda Aceh - Medan KM. 27,5 Indrapuri, Aceh Besar;;5.404;95.464;40;Region I;Aceh;Kab. Aceh Besar;2;UTC+07:00
Stasiun Klimatologi Sumatera Utara;96031;Jl. Meteorologi Raya No.17, Sampali, Kec. Percut Sei Tuan, Deli Serdang;;3.6104;97.72976;274;Region I;Aceh;Kab. Aceh Tenggara;2;UTC+07:00
Stasiun Meteorologi Maritim Belawan;96033;Jl. Raya Pelabuhan III Gabion Belawan Medan;;1.55;98.88;10;Region I;Sumatera Utara;Kab. Tapanuli Tengah;1;UTC+07:00
Stasiun Meteorologi Kualanamu;96035;Jl. Tengku Heran No. 119 Desa V Kebun Kelapa, Kec. Beringin, Deli Serdang;0-20000-0-96035;3.64573;98.88488;23;Region I;Sumatera Utara;Kab. Deli Serdang;1;UTC+07:00
Stasiun Geofisika Deli Serdang;96037;Jl. Geofisika No. 1 Tuntungan I, Kec. Pancurbatu, Kab. Deli Serdang, Sumatera Utara;;3.2983;97.6531;151;Region I;Aceh;Kab. Aceh Tenggara;3;UTC+07:00
Soewondo TNIAU;96039;;;4;97.31;1045;Region I;Aceh;Kab. Gayo Lues;1;UTC+07:00
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I;96041;Jl. Ngumban Surbakti No.15, Sempakata, Kec. Medan Selayang, Kota Medan, Sumatera Utara;;2.485;96.37;10;Region I;Aceh;Kab. Simeulue;4;UTC+07:00
Stasiun Meteorologi Silangit;96043;Jl. Simpang Muara No. 1 Terminal A Bandara Silangit Siborongborong, Tapanuli Utara, Sumatera Utara;;21541.5;985937.3;1420;Region I;Sumatera Utara;Kab. Tapanuli Utara;1;UTC+07:00
