name;address;station_id;wigos_id;latitude;longitude;elevation;region;province;regency;type_id;time_zone
Stasiun Meteorologi Maimun Saleh;Bandara Maimun Saleh Sabang;96001;0-20000-1-06588;5.8764;95.334;125;Region I;Aceh;Kota Sabang;Meteorologi;UTC+07:00
Stasiun Meteorologi Malikussaleh;Jl. Meteorologi Bandar Udara Malikussaleh, Muara Batu, Aceh Utara;96009;0-20000-1-06600;5.22869;96.94749;28;Region I;Aceh;Kab. Aceh Utara;Meteorologi;UTC+07:00
Stasiun Meteorologi Sultan Iskandar Muda;Bandar Udara Sultan Iskandar Muda, Blang Bintang, Banda Aceh;96011;;5.52244;95.417;20;Region I;Aceh;Kab. Aceh Besar;Meteorologi;UTC+07:00
Stasiun Meteorologi Cut Nyak Dhien Nagan Raya;Jl. Bandara Cut Nyak Dhien Desa Kuala Tuha Kec. Kuala Pesisir, Kab. Nagan Raya;96015;0-20000-0-95013;4.04928;96.24796;3;Region I;Aceh;Kab. Nagan Raya;Meteorologi;UTC+07:00
Stasiun Klimatologi Aceh;Jl. Raya Mata Ie Kec. Darul Imarah Kab. Aceh Besar Aceh;96017;;5.404;95.464;40;Region I;Aceh;Kab. Aceh Besar;Klimatologi;UTC+07:00
Stasiun Klimatologi Sumatera Utara;Jl. Meteorologi Raya No.17, Sampali, Kec. Percut Sei Tuan, Deli Serdang;96031;;3.62114;98.71485;0;Region I;Sumatera Utara;Kab. Deli Serdang;Klimatologi;UTC+07:00
Stasiun Meteorologi Maritim Belawan;Jl. Raya Pelabuhan III Gabion Belawan Medan;96033;;3.78824;98.71492;3;Region I;Sumatera Utara;Kota Medan;Meteorologi;UTC+07:00
Stasiun Meteorologi Kualanamu;Jl. Tengku Heran No. 119 Desa V Kebun Kelapa, Kec. Beringin, Deli Serdang;96035;0-20000-0-96035;3.64573;98.88488;23;Region I;Sumatera Utara;Kab. Deli Serdang;Meteorologi;UTC+07:00
Stasiun Geofisika Deli Serdang;Jl. Geofisika No. 1 Tuntungan I, Kec. Pancurbatu, Kab. Deli Serdang, Sumatera Utara;96037;;3.501;98.56;86;Region I;Sumatera Utara;Kab. Deli Serdang;Geofisika;UTC+07:00
Stasiun Geofisika Aceh Selatan;Jl. Bandara T. Cut Ali Desa Teupin Gajah, Kec. Pasie Raja, Kab. Aceh Selatan, Aceh;99933;;3.17333;97.28637;2;Region I;Aceh;Kab. Aceh Selatan;Geofisika;UTC+07:00
Stasiun Meteorologi Aek Godang;Bandara Aek Godang Jl. Aek Godang Sibuhuan Km. 1,5 Aek Godang – Batangonang Padang Lawas Utara;96071;;1.55;99.45;281;Region I;Sumatera Utara;Kab. Padang Lawas Utara;Meteorologi;UTC+07:00
Stasiun Meteorologi FL Tobing;Bandara DR. Ferdinand Lumbantobing, Jl. Ahmad Yani Pinangsori, Kel. Pinangsori, Kec. Pinangsori Kab. Tapanuli Tengah;96073;;1.55;98.88;10;Region I;Sumatera Utara;Kab. Tapanuli Tengah;Meteorologi;UTC+07:00
Stasiun Meteorologi Binaka;Jl. Pelabuhan Udara Binaka Km.19,7 Kecamatan Gunungsitoli Idanoi, kota Gunungsitoli - Nias;96075;;1.1649;97.7036;7;Region I;Sumatera Utara;Kab. Nias;Meteorologi;UTC+07:00
Stasiun Geofisika Gunungsitoli;Jl. Ke Alasa-Meteorologi, Dusun III, Ds. Onowaembo, Kota Gunungsitoli, Sumatera Utara;96077;;1.3;97.58;175;Region I;Sumatera Utara;Kab. Nias;Geofisika;UTC+07:00
Stasiun Meteorologi Hang Nadim;Jl. Hang Nadim, Batu Besar, Batam;96087;;1.11667;104.11667;26;Region I;Kepulauan Riau;Kota Batam;Meteorologi;UTC+07:00
Stasiun Meteorologi Raja Haji Abdullah;Jl. Mayjen Sutoyo Km. 12 Komplek Bandar Udara Raja Haji Abdullah Tangjung Balai Karimun;96089;;1.11667;104.11667;26;Region I;Kepulauan Riau;Kab. Karimun;Meteorologi;UTC+07:00
Stasiun Meteorologi Raja Haji Fisabilillah;Komp. Perkantoran Bandar Udara Raja Haji Fisabilillah Tanjungpinang  Kepulauan Riau;96091;;0.9227;104.5289;15;Region I;Kepulauan Riau;Kota Tanjung Pinang;Meteorologi;UTC+07:00
Stasiun Meteorologi Sultan Syarif Kasim II;Bandar Udara Sultan Syarif Kasim II Pekanbaru;96109;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;Meteorologi;UTC+07:00
