name;wmo_id;alamat;wigos_id;latitude;longitude;elevation_m;region_desc;provinsi_name;kabupaten_name;type_MeteorologiKlimatologiGeofisika;time_zone
Stasiun Meteorologi Maimun Saleh;96001;;0-20000-1-06588;5.87655;95.33785;10;Region I;Aceh;Kota Sabang;Meteorologi;7
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah III;96003;;;0;0;0;Region V;Papua Barat;Kab. Sorong Selatan;Balai;8
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah IV;96004;;;-5.14283;119.45227;72;Region IV;Sulawesi Selatan;Kota Makassar;Balai;8
Stasiun Meteorologi Malikussaleh;96009;;0-20000-1-06600;3.5;97.83;182;Region I;Aceh;Kab. Aceh Tenggara;Meteorologi;7
Stasiun Meteorologi Sultan Iskandar Muda;96011;;;5.52244;95.417;20;Region I;Aceh;Kab. Aceh Besar;Meteorologi;7
Stasiun Geofisika Aceh Besar;96013;;0-20000-0-96013;2.45;98.04;43;Region I;Aceh;Kab. Aceh Singkil;Geofisika;7
Stasiun Meteorologi Cut Nyak Dhien Nagan Raya;96015;;0-20000-0-95013;4.04928;96.24796;3;Region I;Aceh;Kab. Nagan Raya;Meteorologi;7
Stasiun Klimatologi Aceh;96017;;;5.404;95.464;40;Region I;Aceh;Kab. Aceh Besar;Klimatologi;7
Stasiun Klimatologi Sumatera Utara;96031;;;3.6104;97.72976;274;Region I;Aceh;Kab. Aceh Tenggara;Klimatologi;7
Stasiun Meteorologi Maritim Belawan;96033;;;1.55;98.88;10;Region I;Sumatera Utara;Kab. Tapanuli Tengah;Meteorologi;7
Stasiun Meteorologi Kualanamu;96035;;0-20000-0-96035;3.64573;98.88488;23;Region I;Sumatera Utara;Kab. Deli Serdang;Meteorologi;7
Stasiun Geofisika Deli Serdang;96037;;;3.2983;97.6531;151;Region I;Aceh;Kab. Aceh Tenggara;Geofisika;7
Soewondo TNIAU;96039;;;4;97.31;1045;Region I;Aceh;Kab. Gayo Lues;Meteorologi;7
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I;96041;;;2.485;96.37;10;Region I;Aceh;Kab. Simeulue;Balai;7
Stasiun Meteorologi Silangit;96043;;;21541.5;985937.3;1420;Region I;Sumatera Utara;Kab. Tapanuli Utara;Meteorologi;7
Stasiun Meteorologi Aek Godang;96071;;;4.98;97.7;15;Region I;Aceh;Kab. Aceh Timur;Meteorologi;7
Stasiun Meteorologi FL Tobing;96073;;;0.45924;101.44743;39;Region I;Riau;Kota Pekanbaru;Meteorologi;7
